Date : 2023-07-28 15:59:25
Directory : /home/wemb1/Documents/Dissertation/Dissertation/labq
Total : 55 files,  15777 codes, 225 comments, 614 blanks, all 16616 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| JSON           |          3 |     10,868 |          0 |          2 |     10,870 |
| JavaScript JSX |         33 |      3,074 |         74 |        285 |      3,433 |
| JavaScript     |         11 |      1,606 |        139 |        290 |      2,035 |
| Database       |          1 |        128 |          0 |          0 |        128 |
| SQLite         |          2 |         76 |         12 |         34 |        122 |
| HTML           |          1 |         20 |          0 |          1 |         21 |
| CSS            |          2 |          3 |          0 |          2 |          5 |
| XML            |          2 |          2 |          0 |          0 |          2 |
+----------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                    | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                       |         55 |     15,777 |        225 |        614 |     16,616 |
| . (Files)                                                                                                               |          8 |     11,620 |        123 |        151 |     11,894 |
| Database                                                                                                                |          4 |        213 |         13 |         39 |        265 |
| Database (Files)                                                                                                        |          2 |        137 |          1 |          5 |        143 |
| Database/init                                                                                                           |          2 |         76 |         12 |         34 |        122 |
| Models                                                                                                                  |          1 |        797 |          7 |        124 |        928 |
| public                                                                                                                  |          3 |         22 |          0 |          1 |         23 |
| public (Files)                                                                                                          |          2 |         21 |          0 |          1 |         22 |
| public/favicon_io                                                                                                       |          1 |          1 |          0 |          0 |          1 |
| server                                                                                                                  |          1 |         14 |          0 |          5 |         19 |
| src                                                                                                                     |         38 |      3,111 |         82 |        294 |      3,487 |
| src (Files)                                                                                                             |          6 |        163 |         13 |         20 |        196 |
| src/Context                                                                                                             |          7 |         56 |          1 |         13 |         70 |
| src/Pages                                                                                                               |         24 |      2,891 |         68 |        261 |      3,220 |
| src/Pages/ErrorPage                                                                                                     |          1 |          6 |          0 |          3 |          9 |
| src/Pages/Form                                                                                                          |          3 |        286 |          7 |         27 |        320 |
| src/Pages/Form (Files)                                                                                                  |          1 |         10 |          1 |          3 |         14 |
| src/Pages/Form/Components                                                                                               |          1 |        246 |          6 |         18 |        270 |
| src/Pages/Form/FormHook                                                                                                 |          1 |         30 |          0 |          6 |         36 |
| src/Pages/PreviousQuestions                                                                                             |          1 |        281 |          3 |         26 |        310 |
| src/Pages/QuestionBank                                                                                                  |          1 |         81 |          0 |          9 |         90 |
| src/Pages/QuestionSubmitted                                                                                             |          7 |        836 |         34 |         87 |        957 |
| src/Pages/QuestionSubmitted (Files)                                                                                     |          1 |         15 |          0 |          3 |         18 |
| src/Pages/QuestionSubmitted/Components                                                                                  |          6 |        821 |         34 |         84 |        939 |
| src/Pages/RootLayout                                                                                                    |          4 |        215 |         17 |         29 |        261 |
| src/Pages/RootLayout (Files)                                                                                            |          1 |        120 |          1 |         12 |        133 |
| src/Pages/RootLayout/components                                                                                         |          3 |         95 |         16 |         17 |        128 |
| src/Pages/StaffSide                                                                                                     |          7 |      1,186 |          7 |         80 |      1,273 |
| src/Pages/StaffSide/QuestionBankStaff                                                                                   |          1 |        102 |          3 |         11 |        116 |
| src/Pages/StaffSide/Settings                                                                                            |          5 |      1,016 |          4 |         58 |      1,078 |
| src/Pages/StaffSide/Settings (Files)                                                                                    |          1 |         18 |          0 |          4 |         22 |
| src/Pages/StaffSide/Settings/AddTeacher                                                                                 |          1 |        141 |          2 |         10 |        153 |
| src/Pages/StaffSide/Settings/Analytics                                                                                  |          1 |        155 |          2 |         18 |        175 |
| src/Pages/StaffSide/Settings/OpenClosingTimes                                                                           |          1 |        512 |          0 |         15 |        527 |
| src/Pages/StaffSide/Settings/StaffSchedule                                                                              |          1 |        190 |          0 |         11 |        201 |
| src/Pages/StaffSide/StudentQuestions                                                                                    |          1 |         68 |          0 |         11 |         79 |
| src/assets                                                                                                              |          1 |          1 |          0 |          0 |          1 |
+-------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| filename                                                                                                                | language       | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| /home/wemb1/Documents/Dissertation/Dissertation/labq/.eslintrc.cjs                                                      | JavaScript     |         15 |          0 |          1 |         16 |
| /home/wemb1/Documents/Dissertation/Dissertation/labq/Database/db.js                                                     | JavaScript     |          9 |          1 |          5 |         15 |
| /home/wemb1/Documents/Dissertation/Dissertation/labq/Database/db.sqlite                                                 | Database       |        128 |          0 |          0 |        128 |
| /home/wemb1/Documents/Dissertation/Dissertation/labq/Database/init/db.sql                                               | SQLite         |         69 |         12 |         28 |        109 |
| /home/wemb1/Documents/Dissertation/Dissertation/labq/Database/init/delete.sql                                           | SQLite         |          7 |          0 |          6 |         13 |
| /home/wemb1/Documents/Dissertation/Dissertation/labq/Models/data-model.js                                               | JavaScript     |        797 |          7 |        124 |        928 |
| /home/wemb1/Documents/Dissertation/Dissertation/labq/package-lock.json                                                  | JSON           |     10,813 |          0 |          1 |     10,814 |
| /home/wemb1/Documents/Dissertation/Dissertation/labq/package.json                                                       | JSON           |         54 |          0 |          1 |         55 |
| /home/wemb1/Documents/Dissertation/Dissertation/labq/postcss.config.js                                                  | JavaScript     |          6 |          0 |          1 |          7 |
| /home/wemb1/Documents/Dissertation/Dissertation/labq/public/favicon_io/site.webmanifest                                 | JSON           |          1 |          0 |          0 |          1 |
| /home/wemb1/Documents/Dissertation/Dissertation/labq/public/index.html                                                  | HTML           |         20 |          0 |          1 |         21 |
| /home/wemb1/Documents/Dissertation/Dissertation/labq/public/vite.svg                                                    | XML            |          1 |          0 |          0 |          1 |
| /home/wemb1/Documents/Dissertation/Dissertation/labq/server.js                                                          | JavaScript     |        536 |         15 |         48 |        599 |
| /home/wemb1/Documents/Dissertation/Dissertation/labq/server.test.js                                                     | JavaScript     |        175 |        106 |         97 |        378 |
| /home/wemb1/Documents/Dissertation/Dissertation/labq/server/assets-router.mjs                                           | JavaScript     |         14 |          0 |          5 |         19 |
| /home/wemb1/Documents/Dissertation/Dissertation/labq/src/App.css                                                        | CSS            |          0 |          0 |          1 |          1 |
| /home/wemb1/Documents/Dissertation/Dissertation/labq/src/App.jsx                                                        | JavaScript JSX |        111 |          1 |          6 |        118 |
| /home/wemb1/Documents/Dissertation/Dissertation/labq/src/Context/Comment.jsx                                            | JavaScript JSX |         10 |          0 |          2 |         12 |
| /home/wemb1/Documents/Dissertation/Dissertation/labq/src/Context/ModalOpenOrClosed.jsx                                  | JavaScript JSX |          6 |          0 |          2 |          8 |
| /home/wemb1/Documents/Dissertation/Dissertation/labq/src/Context/QuestionSync.jsx                                       | JavaScript JSX |          6 |          0 |          2 |          8 |
| /home/wemb1/Documents/Dissertation/Dissertation/labq/src/Context/Solutions.jsx                                          | JavaScript JSX |          6 |          0 |          2 |          8 |
| /home/wemb1/Documents/Dissertation/Dissertation/labq/src/Context/StaffProfile.jsx                                       | JavaScript JSX |          6 |          0 |          2 |          8 |
| /home/wemb1/Documents/Dissertation/Dissertation/labq/src/Context/auth-access.jsx                                        | JavaScript JSX |         12 |          1 |          1 |         14 |
| /home/wemb1/Documents/Dissertation/Dissertation/labq/src/Context/edit.jsx                                               | JavaScript JSX |         10 |          0 |          2 |         12 |
| /home/wemb1/Documents/Dissertation/Dissertation/labq/src/Pages/ErrorPage/ErrorPage.jsx                                  | JavaScript JSX |          6 |          0 |          3 |          9 |
| /home/wemb1/Documents/Dissertation/Dissertation/labq/src/Pages/Form/Components/Question.jsx                             | JavaScript JSX |        246 |          6 |         18 |        270 |
| /home/wemb1/Documents/Dissertation/Dissertation/labq/src/Pages/Form/Form.jsx                                            | JavaScript JSX |         10 |          1 |          3 |         14 |
| /home/wemb1/Documents/Dissertation/Dissertation/labq/src/Pages/Form/FormHook/FormHook.jsx                               | JavaScript JSX |         30 |          0 |          6 |         36 |
| /home/wemb1/Documents/Dissertation/Dissertation/labq/src/Pages/PreviousQuestions/PreviousQuestions.jsx                  | JavaScript JSX |        281 |          3 |         26 |        310 |
| /home/wemb1/Documents/Dissertation/Dissertation/labq/src/Pages/QuestionBank/QuestionBank.jsx                            | JavaScript JSX |         81 |          0 |          9 |         90 |
| /home/wemb1/Documents/Dissertation/Dissertation/labq/src/Pages/QuestionSubmitted/Components/AddComment.jsx              | JavaScript JSX |         60 |          1 |         12 |         73 |
| /home/wemb1/Documents/Dissertation/Dissertation/labq/src/Pages/QuestionSubmitted/Components/Analytics.jsx               | JavaScript JSX |         80 |          1 |         10 |         91 |
| /home/wemb1/Documents/Dissertation/Dissertation/labq/src/Pages/QuestionSubmitted/Components/CancelRequest.jsx           | JavaScript JSX |        166 |          4 |         15 |        185 |
| /home/wemb1/Documents/Dissertation/Dissertation/labq/src/Pages/QuestionSubmitted/Components/EditComment.jsx             | JavaScript JSX |         52 |          1 |          9 |         62 |
| /home/wemb1/Documents/Dissertation/Dissertation/labq/src/Pages/QuestionSubmitted/Components/EditSubmittedQuestion.jsx   | JavaScript JSX |        203 |         25 |         17 |        245 |
| /home/wemb1/Documents/Dissertation/Dissertation/labq/src/Pages/QuestionSubmitted/Components/SubmittedQuestion.jsx       | JavaScript JSX |        260 |          2 |         21 |        283 |
| /home/wemb1/Documents/Dissertation/Dissertation/labq/src/Pages/QuestionSubmitted/QuestionSubmitted.jsx                  | JavaScript JSX |         15 |          0 |          3 |         18 |
| /home/wemb1/Documents/Dissertation/Dissertation/labq/src/Pages/RootLayout/RootLayout.jsx                                | JavaScript JSX |        120 |          1 |         12 |        133 |
| /home/wemb1/Documents/Dissertation/Dissertation/labq/src/Pages/RootLayout/components/DeleteTable.jsx                    | JavaScript JSX |         18 |          0 |          3 |         21 |
| /home/wemb1/Documents/Dissertation/Dissertation/labq/src/Pages/RootLayout/components/SignIn.jsx                         | JavaScript JSX |         65 |         15 |         10 |         90 |
| /home/wemb1/Documents/Dissertation/Dissertation/labq/src/Pages/RootLayout/components/SignOut.jsx                        | JavaScript JSX |         12 |          1 |          4 |         17 |
| /home/wemb1/Documents/Dissertation/Dissertation/labq/src/Pages/StaffSide/QuestionBankStaff/QuestionBankStaff.jsx        | JavaScript JSX |        102 |          3 |         11 |        116 |
| /home/wemb1/Documents/Dissertation/Dissertation/labq/src/Pages/StaffSide/Settings/AddTeacher/AddTeacher.jsx             | JavaScript JSX |        141 |          2 |         10 |        153 |
| /home/wemb1/Documents/Dissertation/Dissertation/labq/src/Pages/StaffSide/Settings/Analytics/Analytics.jsx               | JavaScript JSX |        155 |          2 |         18 |        175 |
| /home/wemb1/Documents/Dissertation/Dissertation/labq/src/Pages/StaffSide/Settings/OpenClosingTimes/OpenClosingTimes.jsx | JavaScript JSX |        512 |          0 |         15 |        527 |
| /home/wemb1/Documents/Dissertation/Dissertation/labq/src/Pages/StaffSide/Settings/Settings.jsx                          | JavaScript JSX |         18 |          0 |          4 |         22 |
| /home/wemb1/Documents/Dissertation/Dissertation/labq/src/Pages/StaffSide/Settings/StaffSchedule/StaffSchedule.jsx       | JavaScript JSX |        190 |          0 |         11 |        201 |
| /home/wemb1/Documents/Dissertation/Dissertation/labq/src/Pages/StaffSide/StudentQuestions/StudentQuestions.jsx          | JavaScript JSX |         68 |          0 |         11 |         79 |
| /home/wemb1/Documents/Dissertation/Dissertation/labq/src/assets/react.svg                                               | XML            |          1 |          0 |          0 |          1 |
| /home/wemb1/Documents/Dissertation/Dissertation/labq/src/authConfig.js                                                  | JavaScript     |         20 |          3 |          2 |         25 |
| /home/wemb1/Documents/Dissertation/Dissertation/labq/src/graph.js                                                       | JavaScript     |         13 |          5 |          5 |         23 |
| /home/wemb1/Documents/Dissertation/Dissertation/labq/src/index.css                                                      | CSS            |          3 |          0 |          1 |          4 |
| /home/wemb1/Documents/Dissertation/Dissertation/labq/src/main.jsx                                                       | JavaScript JSX |         16 |          4 |          5 |         25 |
| /home/wemb1/Documents/Dissertation/Dissertation/labq/tailwind.config.js                                                 | JavaScript     |         10 |          1 |          0 |         11 |
| /home/wemb1/Documents/Dissertation/Dissertation/labq/vite.config.js                                                     | JavaScript     |         11 |          1 |          2 |         14 |
| Total                                                                                                                   |                |     15,777 |        225 |        614 |     16,616 |
+-------------------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
